task,partition,class,rows
binary,train,normal,40000
binary,train,attack,128834
binary,test,normal,10000
binary,test,attack,32209
multiclass,train,backdoor,16000
multiclass,train,ddos,16000
multiclass,train,dos,16000
multiclass,train,injection,16000
multiclass,train,mitm,834
multiclass,train,normal,40000
multiclass,train,password,16000
multiclass,train,ransomware,16000
multiclass,train,scanning,16000
multiclass,train,xss,16000
multiclass,test,backdoor,4000
multiclass,test,ddos,4000
multiclass,test,dos,4000
multiclass,test,injection,4000
multiclass,test,mitm,209
multiclass,test,normal,10000
multiclass,test,password,4000
multiclass,test,ransomware,4000
multiclass,test,scanning,4000
multiclass,test,xss,4000
