task,branch,position,column
binary,numeric,0,src_port
binary,numeric,1,dst_port
binary,numeric,2,duration
binary,numeric,3,src_bytes
binary,numeric,4,dst_bytes
binary,numeric,5,missed_bytes
binary,numeric,6,src_pkts
binary,numeric,7,src_ip_bytes
binary,numeric,8,dst_pkts
binary,numeric,9,dst_ip_bytes
binary,numeric,10,dns_qclass
binary,numeric,11,dns_qtype
binary,numeric,12,dns_rcode
binary,numeric,13,http_request_body_len
binary,numeric,14,http_response_body_len
binary,numeric,15,http_status_code
binary,categorical,0,proto
binary,categorical,1,service
binary,categorical,2,conn_state
binary,categorical,3,dns_qtype
binary,categorical,4,dns_rcode
binary,categorical,5,ssl_version
binary,categorical,6,http_method
binary,categorical,7,http_status_code
binary,categorical,8,weird_name
binary,categorical,9,dns_AA
binary,categorical,10,dns_RD
binary,categorical,11,dns_RA
binary,categorical,12,dns_rejected
binary,categorical,13,ssl_cipher
binary,categorical,14,ssl_resumed
binary,categorical,15,ssl_established
binary,categorical,16,http_trans_depth
binary,categorical,17,http_version
binary,categorical,18,weird_notice
binary,source_unique,0,src_port
binary,source_unique,1,dst_port
binary,source_unique,2,duration
binary,source_unique,3,src_bytes
binary,source_unique,4,dst_bytes
binary,source_unique,5,missed_bytes
binary,source_unique,6,src_pkts
binary,source_unique,7,src_ip_bytes
binary,source_unique,8,dst_pkts
binary,source_unique,9,dst_ip_bytes
binary,source_unique,10,dns_qclass
binary,source_unique,11,dns_qtype
binary,source_unique,12,dns_rcode
binary,source_unique,13,http_request_body_len
binary,source_unique,14,http_response_body_len
binary,source_unique,15,http_status_code
binary,source_unique,16,proto
binary,source_unique,17,service
binary,source_unique,18,conn_state
binary,source_unique,19,ssl_version
binary,source_unique,20,http_method
binary,source_unique,21,weird_name
binary,source_unique,22,dns_AA
binary,source_unique,23,dns_RD
binary,source_unique,24,dns_RA
binary,source_unique,25,dns_rejected
binary,source_unique,26,ssl_cipher
binary,source_unique,27,ssl_resumed
binary,source_unique,28,ssl_established
binary,source_unique,29,http_trans_depth
binary,source_unique,30,http_version
binary,source_unique,31,weird_notice
multiclass,numeric,0,src_port
multiclass,numeric,1,dst_port
multiclass,numeric,2,duration
multiclass,numeric,3,src_bytes
multiclass,numeric,4,dst_bytes
multiclass,numeric,5,missed_bytes
multiclass,numeric,6,src_pkts
multiclass,numeric,7,src_ip_bytes
multiclass,numeric,8,dst_pkts
multiclass,numeric,9,dst_ip_bytes
multiclass,numeric,10,dns_qclass
multiclass,numeric,11,dns_qtype
multiclass,numeric,12,dns_rcode
multiclass,numeric,13,http_request_body_len
multiclass,numeric,14,http_response_body_len
multiclass,numeric,15,http_status_code
multiclass,categorical,0,proto
multiclass,categorical,1,service
multiclass,categorical,2,conn_state
multiclass,categorical,3,dns_qtype
multiclass,categorical,4,dns_rcode
multiclass,categorical,5,ssl_version
multiclass,categorical,6,http_method
multiclass,categorical,7,http_status_code
multiclass,categorical,8,weird_name
multiclass,categorical,9,dns_AA
multiclass,categorical,10,dns_RD
multiclass,categorical,11,dns_RA
multiclass,categorical,12,dns_rejected
multiclass,categorical,13,ssl_cipher
multiclass,categorical,14,ssl_resumed
multiclass,categorical,15,ssl_established
multiclass,categorical,16,http_trans_depth
multiclass,categorical,17,http_version
multiclass,categorical,18,weird_notice
multiclass,source_unique,0,src_port
multiclass,source_unique,1,dst_port
multiclass,source_unique,2,duration
multiclass,source_unique,3,src_bytes
multiclass,source_unique,4,dst_bytes
multiclass,source_unique,5,missed_bytes
multiclass,source_unique,6,src_pkts
multiclass,source_unique,7,src_ip_bytes
multiclass,source_unique,8,dst_pkts
multiclass,source_unique,9,dst_ip_bytes
multiclass,source_unique,10,dns_qclass
multiclass,source_unique,11,dns_qtype
multiclass,source_unique,12,dns_rcode
multiclass,source_unique,13,http_request_body_len
multiclass,source_unique,14,http_response_body_len
multiclass,source_unique,15,http_status_code
multiclass,source_unique,16,proto
multiclass,source_unique,17,service
multiclass,source_unique,18,conn_state
multiclass,source_unique,19,ssl_version
multiclass,source_unique,20,http_method
multiclass,source_unique,21,weird_name
multiclass,source_unique,22,dns_AA
multiclass,source_unique,23,dns_RD
multiclass,source_unique,24,dns_RA
multiclass,source_unique,25,dns_rejected
multiclass,source_unique,26,ssl_cipher
multiclass,source_unique,27,ssl_resumed
multiclass,source_unique,28,ssl_established
multiclass,source_unique,29,http_trans_depth
multiclass,source_unique,30,http_version
multiclass,source_unique,31,weird_notice
