column,dtype,missing_rows
src_ip,str,0
src_port,int64,0
dst_ip,str,0
dst_port,int64,0
proto,str,0
service,str,0
duration,float64,0
src_bytes,int64,0
dst_bytes,int64,0
conn_state,str,0
missed_bytes,int64,0
src_pkts,int64,0
src_ip_bytes,int64,0
dst_pkts,int64,0
dst_ip_bytes,int64,0
dns_query,str,0
dns_qclass,int64,0
dns_qtype,int64,0
dns_rcode,int64,0
dns_AA,str,0
dns_RD,str,0
dns_RA,str,0
dns_rejected,str,0
ssl_version,str,0
ssl_cipher,str,0
ssl_resumed,str,0
ssl_established,str,0
ssl_subject,str,0
ssl_issuer,str,0
http_trans_depth,str,0
http_method,str,0
http_uri,str,0
http_version,str,0
http_request_body_len,int64,0
http_response_body_len,int64,0
http_status_code,int64,0
http_user_agent,str,0
http_orig_mime_types,str,0
http_resp_mime_types,str,0
weird_name,str,0
weird_addl,str,0
weird_notice,str,0
label,int64,0
type,str,0
