model,mode,accuracy,precision,recall,f1_score,macro_f1,weighted_f1,confusion_matrix,training_time_seconds,inference_time_seconds,balancing,extension,best_params,best_cv_macro_f1
random_forest,binary,0.9981283612499704,0.9985414597815293,0.9990064888695707,0.9987739201961727,0.9974104777363151,0.9981278767173613,"[[9953, 47], [32, 32177]]",0.6735881000058725,0.07338700001128018,without_smote,smote_comparison,,
lightgbm,binary,0.9974886872467957,0.9992845811689322,0.9974230805054488,0.9983529631125889,0.9965344077776305,0.9974912723191759,"[[9977, 23], [83, 32126]]",0.2745021000155248,0.04610580002190545,without_smote,smote_comparison,,
xgboost,binary,0.9967779383543794,0.9981052958533934,0.9976714582880561,0.9978883299173964,0.9955465432938636,0.9967787150847622,"[[9939, 61], [75, 32134]]",0.29847309994511306,0.016132699965965003,without_smote,smote_comparison,,
logistic_regression,binary,0.9572129166765382,0.9716714759998759,0.972274830016455,0.971973059374903,0.9407913344922563,0.9571981417589221,"[[9087, 913], [893, 31316]]",0.6470310000004247,0.01049409998813644,without_smote,smote_comparison,,
random_forest,binary,0.9977729868037623,0.9989435416213529,0.9981371666304449,0.9985401913281153,0.996923146697714,0.9977739828747516,"[[9966, 34], [60, 32149]]",0.6117332000285387,0.15908809995744377,with_smote,smote_comparison,,
lightgbm,binary,0.9970859295410931,0.9991288656586398,0.9970505138315378,0.9980886077916427,0.9959795707518536,0.997089277298246,"[[9972, 28], [95, 32114]]",0.2976319000008516,0.029007500037550926,with_smote,smote_comparison,,
xgboost,binary,0.9969200881328627,0.9989423585404548,0.9970194666087119,0.9979799863260613,0.9957500370270522,0.9969233636631177,"[[9966, 34], [96, 32113]]",0.29490189999341965,0.016498800017870963,with_smote,smote_comparison,,
logistic_regression,binary,0.9574024497145158,0.9716199869731088,0.9725853022447142,0.9721024049650893,0.9410291672261344,0.9573788920939221,"[[9085, 915], [883, 31326]]",0.7175674000172876,0.007029499975033104,with_smote,smote_comparison,,
random_forest,binary,0.9981283612499704,0.9985414597815293,0.9990064888695707,0.9987739201961727,0.9974104777363151,0.9981278767173613,"[[9953, 47], [32, 32177]]",13.715077399974689,0.08710270002484322,,hyperparameter_tuning,"{'n_estimators': 100, 'min_samples_split': 2, 'max_depth': None}",0.9963556418371198
xgboost,binary,0.9979388282119928,0.9987578411278802,0.9985407805271819,0.9986492990327739,0.9971504105000426,0.9979390767897777,"[[9960, 40], [47, 32162]]",2.8951767000253312,0.022075199987739325,,hyperparameter_tuning,"{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.1}",0.9960353850948668
lightgbm,binary,0.9984600440664313,0.9991304347826087,0.9988512527554411,0.9989908242636899,0.9978711430529305,0.9984602828100856,"[[9972, 28], [37, 32172]]",4.940958000021055,0.04007879999699071,,hyperparameter_tuning,"{'num_leaves': 64, 'n_estimators': 100, 'learning_rate': 0.1}",0.9964963069953289
mlp_classifier,binary,0.9927266696676065,0.9954649934770454,0.9950013971250272,0.9952331413132929,0.9899473225926945,0.992728548112507,"[[9854, 146], [161, 32048]]",5.418847799999639,0.04168460000073537,,additional_model,,
isolation_forest,binary,0.3651590892937525,0.8729502549262781,0.19668415660219193,0.3210358283079106,0.36246665948230555,0.3406671065539694,"[[9078, 922], [25874, 6335]]",0.2180190000217408,0.2014354999992065,,additional_model,,
