mode,model,feature,mean_abs_shap,interpretability_method,normalized_feature_importance
binary,lightgbm,dst_port,2.3036741003600167,shap,
binary,lightgbm,proto_tcp,2.0219879324076464,shap,
binary,lightgbm,proto_udp,1.8811093016937446,shap,
binary,lightgbm,conn_state_REJ,1.4085221475208347,shap,
binary,lightgbm,src_pkts,1.2056389679988677,shap,
binary,lightgbm,src_port,1.0089599219434116,shap,
binary,lightgbm,src_ip_bytes,0.809518797507658,shap,
binary,lightgbm,dst_pkts,0.6568573480717709,shap,
binary,lightgbm,duration,0.6253195401794653,shap,
binary,lightgbm,dns_qtype,0.5584741935742009,shap,
binary,lightgbm,dns_rejected_T,0.43805935134433355,shap,
binary,lightgbm,conn_state_S0,0.2740197658232578,shap,
binary,lightgbm,dns_RD_F,0.22476306187830003,shap,
binary,lightgbm,dst_bytes,0.20018986267037944,shap,
binary,lightgbm,service_-,0.1842377094419581,shap,
binary,lightgbm,dns_RA_T,0.17566240964211444,shap,
binary,lightgbm,src_bytes,0.16128773495304308,shap,
binary,lightgbm,dst_ip_bytes,0.12754763606774672,shap,
binary,lightgbm,dns_rejected_F,0.11647734247259517,shap,
binary,lightgbm,conn_state_SF,0.10810758146719879,shap,
binary,lightgbm,dns_RA_F,0.09085583252034903,shap,
binary,lightgbm,service_dns,0.06493421914471174,shap,
binary,lightgbm,dns_qtype_12,0.04034486980423919,shap,
binary,lightgbm,dns_RD_T,0.028859879360326128,shap,
binary,lightgbm,ssl_version_-,0.02718422146132875,shap,
