model,mode,accuracy,precision,recall,f1_score,macro_f1,weighted_f1,confusion_matrix,training_time_seconds,inference_time_seconds,balancing,training_samples,test_samples,extension,best_params,best_cv_macro_f1
random_forest,multiclass,0.9851927314079936,0.9854754868929432,0.9851927314079936,0.9853082093477893,0.9528011682422365,0.9853082093477893,"[[3994, 1, 0, 1, 0, 0, 4, 0, 0, 0], [0, 3884, 2, 38, 4, 18, 6, 2, 0, 46], [0, 1, 3908, 6, 34, 10, 4, 0, 35, 2], [0, 33, 10, 3860, 7, 2, 0, 1, 10, 77], [0, 3, 21, 2, 148, 10, 19, 1, 4, 1], [0, 8, 3, 0, 7, 9967, 4, 3, 5, 3], [0, 2, 3, 3, 27, 4, 3955, 0, 3, 3], [0, 4, 0, 0, 0, 0, 0, 3996, 0, 0], [0, 0, 17, 15, 9, 2, 6, 0, 3951, 0], [0, 13, 1, 59, 4, 1, 0, 1, 0, 3921]]",0.6217632000043523,0.1666972000093665,without_smote,30000,42209,smote_comparison,,
lightgbm,multiclass,0.9856191807434433,0.9864435958193377,0.9856191807434433,0.9859291617356805,0.9524028408202936,0.9859291617356805,"[[3993, 1, 0, 0, 6, 0, 0, 0, 0, 0], [0, 3894, 3, 37, 3, 17, 2, 0, 0, 44], [0, 2, 3903, 2, 49, 10, 3, 0, 30, 1], [0, 30, 7, 3849, 6, 3, 2, 0, 15, 88], [0, 1, 11, 1, 161, 12, 20, 0, 2, 1], [1, 3, 6, 1, 14, 9963, 5, 1, 1, 5], [0, 1, 5, 3, 34, 0, 3952, 0, 3, 2], [0, 5, 0, 0, 0, 0, 0, 3995, 0, 0], [0, 0, 8, 7, 13, 2, 6, 0, 3964, 0], [0, 16, 1, 48, 2, 2, 3, 0, 0, 3928]]",1.507179799998994,0.35759079999115784,without_smote,30000,42209,smote_comparison,,
xgboost,multiclass,0.9817811367243953,0.9823587651464869,0.9817811367243953,0.981946091713606,0.947136326632462,0.981946091713606,"[[3993, 3, 0, 0, 0, 4, 0, 0, 0, 0], [0, 3817, 3, 41, 5, 47, 11, 0, 0, 76], [0, 1, 3895, 0, 42, 13, 2, 0, 43, 4], [0, 40, 0, 3779, 6, 5, 2, 0, 20, 148], [0, 1, 13, 3, 146, 20, 21, 0, 3, 2], [0, 11, 0, 2, 16, 9965, 1, 1, 0, 4], [0, 0, 4, 5, 24, 3, 3954, 0, 3, 7], [0, 4, 0, 0, 0, 0, 0, 3991, 5, 0], [0, 2, 4, 1, 11, 3, 5, 0, 3973, 1], [0, 7, 0, 50, 3, 12, 0, 0, 1, 3927]]",1.6897882999910507,0.07057709999207873,without_smote,30000,42209,smote_comparison,,
logistic_regression,multiclass,0.818071975171172,0.8454067869851052,0.818071975171172,0.8235287566064355,0.7587132187091483,0.8235287566064355,"[[3992, 0, 0, 2, 3, 0, 3, 0, 0, 0], [0, 3595, 4, 19, 49, 51, 128, 19, 21, 114], [0, 30, 3596, 1, 283, 63, 0, 3, 21, 3], [0, 111, 6, 2922, 167, 4, 634, 9, 11, 136], [0, 0, 0, 3, 194, 7, 3, 0, 0, 2], [1, 2, 1, 6, 177, 8428, 0, 1370, 8, 7], [926, 0, 0, 992, 48, 5, 1971, 0, 36, 22], [0, 0, 0, 0, 15, 13, 0, 3494, 194, 284], [722, 62, 11, 0, 42, 0, 0, 11, 3071, 81], [0, 121, 12, 99, 237, 4, 27, 46, 187, 3267]]",5.699345600005472,0.016144699999131262,without_smote,30000,42209,smote_comparison,,
random_forest,multiclass,0.9836053922149305,0.9856874376133133,0.9836053922149305,0.9843010819562048,0.9523682935860984,0.9843010819562048,"[[3994, 0, 0, 0, 6, 0, 0, 0, 0, 0], [1, 3893, 3, 27, 9, 11, 5, 3, 0, 48], [0, 0, 3898, 3, 61, 12, 0, 0, 25, 1], [0, 38, 6, 3844, 13, 1, 0, 0, 12, 86], [0, 1, 0, 2, 199, 5, 1, 0, 1, 0], [0, 25, 8, 2, 31, 9923, 0, 5, 1, 5], [0, 0, 0, 1, 46, 0, 3947, 0, 2, 4], [0, 2, 0, 0, 0, 0, 0, 3998, 0, 0], [0, 0, 41, 7, 18, 2, 0, 0, 3932, 0], [0, 24, 0, 75, 8, 4, 0, 0, 0, 3889]]",0.6487117999931797,0.16955339998821728,with_smote,30000,42209,smote_comparison,,
lightgbm,multiclass,0.9845293657750717,0.9867350216482672,0.9845293657750717,0.9852576639710664,0.9528434373727108,0.9852576639710664,"[[3993, 0, 0, 0, 6, 1, 0, 0, 0, 0], [0, 3892, 2, 29, 9, 9, 4, 0, 0, 55], [0, 4, 3892, 0, 59, 8, 3, 0, 33, 1], [0, 31, 4, 3843, 13, 3, 0, 0, 16, 90], [0, 1, 0, 3, 199, 4, 1, 0, 1, 0], [1, 25, 4, 2, 37, 9920, 3, 2, 1, 5], [0, 0, 1, 3, 48, 0, 3945, 0, 1, 2], [0, 8, 0, 0, 0, 0, 0, 3992, 0, 0], [4, 0, 29, 0, 17, 3, 0, 0, 3947, 0], [0, 8, 1, 48, 8, 2, 0, 0, 0, 3933]]",1.5923263000004226,0.35015589999966323,with_smote,30000,42209,smote_comparison,,
xgboost,multiclass,0.9810940794617262,0.9841163176280417,0.9810940794617262,0.9820499746921758,0.9459507023846927,0.9820499746921758,"[[3993, 0, 0, 0, 7, 0, 0, 0, 0, 0], [0, 3802, 4, 33, 18, 43, 7, 17, 0, 76], [0, 0, 3881, 0, 65, 13, 0, 0, 39, 2], [0, 32, 0, 3770, 15, 3, 0, 1, 20, 159], [0, 1, 0, 1, 199, 7, 0, 0, 0, 1], [0, 11, 7, 4, 42, 9928, 1, 3, 1, 3], [0, 0, 1, 4, 50, 0, 3942, 0, 0, 3], [0, 0, 0, 0, 0, 0, 0, 4000, 0, 0], [0, 0, 10, 1, 20, 3, 0, 0, 3966, 0], [0, 5, 1, 40, 19, 5, 0, 0, 0, 3930]]",1.910318800000823,0.06908280000789091,with_smote,30000,42209,smote_comparison,,
logistic_regression,multiclass,0.8141391646331351,0.840623672128602,0.8141391646331351,0.8186390449158151,0.7541346752181421,0.8186390449158151,"[[3994, 0, 0, 0, 3, 0, 3, 0, 0, 0], [0, 3592, 4, 36, 40, 53, 120, 19, 21, 115], [0, 29, 3598, 1, 283, 65, 0, 3, 18, 3], [0, 113, 9, 2950, 145, 3, 627, 9, 12, 132], [0, 0, 0, 7, 193, 7, 0, 0, 0, 2], [0, 3, 4, 6, 194, 8404, 4, 1371, 8, 6], [926, 0, 0, 1150, 48, 1, 1817, 0, 36, 22], [0, 0, 0, 0, 15, 25, 0, 3469, 210, 281], [724, 59, 18, 1, 41, 0, 0, 0, 3092, 65], [0, 121, 16, 104, 230, 4, 23, 47, 200, 3255]]",5.636296500000753,0.014042800001334399,with_smote,30000,42209,smote_comparison,,
random_forest,multiclass,0.9851927314079936,0.9854754868929432,0.9851927314079936,0.9853082093477893,0.9528011682422365,0.9853082093477893,"[[3994, 1, 0, 1, 0, 0, 4, 0, 0, 0], [0, 3884, 2, 38, 4, 18, 6, 2, 0, 46], [0, 1, 3908, 6, 34, 10, 4, 0, 35, 2], [0, 33, 10, 3860, 7, 2, 0, 1, 10, 77], [0, 3, 21, 2, 148, 10, 19, 1, 4, 1], [0, 8, 3, 0, 7, 9967, 4, 3, 5, 3], [0, 2, 3, 3, 27, 4, 3955, 0, 3, 3], [0, 4, 0, 0, 0, 0, 0, 3996, 0, 0], [0, 0, 17, 15, 9, 2, 6, 0, 3951, 0], [0, 13, 1, 59, 4, 1, 0, 1, 0, 3921]]",5.853059899993241,0.1936576000007335,,30000,42209,hyperparameter_tuning,"{'n_estimators': 100, 'min_samples_split': 2, 'max_depth': None}",0.9561563747524708
xgboost,multiclass,0.9849795067402687,0.9851307956147435,0.9849795067402687,0.9850098741164296,0.9482163756570706,0.9850098741164296,"[[3993, 0, 0, 0, 1, 3, 3, 0, 0, 0], [0, 3869, 2, 42, 2, 27, 7, 0, 0, 51], [0, 2, 3909, 0, 33, 14, 4, 0, 36, 2], [0, 31, 1, 3834, 5, 4, 2, 0, 20, 103], [0, 1, 22, 4, 131, 21, 26, 0, 3, 1], [0, 7, 0, 0, 9, 9974, 4, 1, 1, 4], [0, 1, 4, 1, 27, 1, 3956, 0, 3, 7], [0, 4, 0, 0, 0, 0, 0, 3994, 2, 0], [0, 2, 7, 0, 8, 3, 8, 0, 3972, 0], [0, 5, 4, 38, 3, 7, 0, 0, 0, 3943]]",13.035222600010457,0.08836569999402855,,30000,42209,hyperparameter_tuning,"{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.1}",0.9548825003604585
lightgbm,multiclass,0.9854770309649601,0.9864143854833293,0.9854770309649601,0.9858226696600972,0.9523073133463551,0.9858226696600972,"[[3993, 1, 0, 0, 6, 0, 0, 0, 0, 0], [0, 3895, 2, 34, 4, 17, 3, 0, 0, 45], [0, 3, 3897, 2, 52, 9, 3, 0, 33, 1], [0, 34, 5, 3845, 8, 2, 1, 0, 15, 90], [0, 1, 9, 2, 164, 10, 18, 0, 4, 1], [1, 4, 6, 1, 14, 9961, 6, 1, 1, 5], [0, 1, 4, 3, 34, 0, 3952, 0, 3, 3], [0, 5, 0, 0, 0, 0, 0, 3995, 0, 0], [0, 0, 10, 6, 14, 2, 5, 0, 3963, 0], [0, 18, 1, 46, 1, 2, 1, 0, 0, 3931]]",22.894380900004762,0.17960010000388138,,30000,42209,hyperparameter_tuning,"{'num_leaves': 31, 'n_estimators': 50, 'learning_rate': 0.1}",0.957422422404652
mlp_classifier,multiclass,0.944348361723803,0.9437097193643966,0.944348361723803,0.9435843128783642,0.885129469834226,0.9435843128783642,"[[3994, 0, 0, 4, 0, 0, 0, 0, 0, 2], [1, 3664, 21, 136, 3, 45, 43, 28, 2, 57], [0, 22, 3863, 0, 20, 25, 1, 0, 35, 34], [0, 57, 64, 3448, 0, 7, 300, 2, 13, 109], [1, 3, 45, 6, 64, 19, 6, 2, 6, 57], [1, 7, 39, 1, 8, 9890, 3, 19, 10, 22], [105, 2, 16, 171, 14, 6, 3613, 0, 0, 73], [0, 0, 0, 0, 0, 5, 0, 3977, 6, 12], [54, 54, 8, 5, 4, 3, 55, 38, 3647, 132], [0, 28, 87, 103, 0, 15, 3, 6, 58, 3700]]",32.44839279999724,0.04459210000641178,,30000,42209,additional_model,,
