,precision,recall,f1-score,support
backdoor,1.0,0.99925,0.9996248593222459,4000.0
ddos,0.9891932646393566,0.984,0.9865897982203283,4000.0
dos,0.9896699420508944,0.982,0.9858200527042289,4000.0
injection,0.9832784393210033,0.97025,0.9767207751352712,4000.0
mitm,0.6840148698884758,0.8803827751196173,0.7698744769874477,209.0
normal,0.9974015590645613,0.998,0.997700689793062,10000.0
password,0.9959798994974874,0.991,0.993483709273183,4000.0
ransomware,1.0,0.999,0.9994997498749375,4000.0
scanning,0.9880029992501874,0.98825,0.9881264841894764,4000.0
xss,0.972939729397294,0.98875,0.9807811531308122,4000.0
accuracy,0.9896941410599636,0.9896941410599636,0.9896941410599636,0.9896941410599636
macro avg,0.9600480703109261,0.9780882775119617,0.9678221748630993,42209.0
weighted avg,0.9901497736283067,0.9896941410599636,0.9898480653657498,42209.0
