,precision,recall,f1-score,support
backdoor,0.7075287865367582,0.9985,0.8282011404872991,4000.0
ddos,0.9219586840091814,0.90375,0.9127635399570762,4000.0
dos,0.990770901194354,0.9125,0.9500260281103592,4000.0
injection,0.7751157092295127,0.71175,0.7420826273947608,4000.0
mitm,0.16,0.937799043062201,0.2733612273361227,209.0
normal,0.9910303316416853,0.8397,0.9091105938396579,10000.0
password,0.7065455684309427,0.564,0.6272765188377589,4000.0
ransomware,0.7076652326945639,0.90475,0.794162826420891,4000.0
scanning,0.8778106508875739,0.74175,0.8040650406504065,4000.0
xss,0.8554216867469879,0.83425,0.8447032021263131,4000.0
accuracy,0.8263166623232012,0.8263166623232012,0.8263166623232012,0.8263166623232012
macro avg,0.7693847551371561,0.83487490430622,0.7685752745160646,42209.0
weighted avg,0.8556234972478938,0.8263166623232012,0.833029973011663,42209.0
