,precision,recall,f1-score,support
backdoor,1.0,0.99925,0.9996248593222459,4000.0
ddos,0.9851721538074893,0.98,0.9825792705852864,4000.0
dos,0.9861635220125786,0.98,0.9830721003134796,4000.0
injection,0.9753706961548128,0.97025,0.9728036094748715,4000.0
mitm,0.721030042918455,0.8038277511961722,0.7601809954751131,209.0
normal,0.9966023783351654,0.9973,0.9969510671265057,10000.0
password,0.993,0.993,0.993,4000.0
ransomware,0.9997498123592694,0.999,0.9993747655370764,4000.0
scanning,0.9853160776505724,0.98975,0.9875280618608132,4000.0
xss,0.9763916500994035,0.98225,0.9793120638085743,4000.0
accuracy,0.9882963349048781,0.9882963349048781,0.9882963349048781,0.9882963349048781
macro avg,0.9618796333337747,0.9694627751196172,0.9654426793503965,42209.0
weighted avg,0.9884473621895358,0.9882963349048781,0.9883571613383105,42209.0
