,precision,recall,f1-score,support
backdoor,1.0,0.9995,0.9997499374843711,4000.0
ddos,0.9891468955073195,0.97975,0.9844260236121577,4000.0
dos,0.9906518443658413,0.98025,0.985423473234481,4000.0
injection,0.9859729660800816,0.9665,0.976139376341371,4000.0
mitm,0.6716981132075471,0.8516746411483254,0.7510548523206751,209.0
normal,0.9964061096136568,0.9981,0.9972523355148124,10000.0
password,0.995475113122172,0.99,0.9927300075206819,4000.0
ransomware,0.9997498123592694,0.999,0.9993747655370764,4000.0
scanning,0.9848560079443893,0.99175,0.9882909815645242,4000.0
xss,0.9706242350061199,0.99125,0.9808286951144094,4000.0
accuracy,0.9891492335757777,0.9891492335757777,0.9891492335757777,0.9891492335757777
macro avg,0.9584581097206397,0.9747774641148326,0.9655270448244562,42209.0
weighted avg,0.9896077495163997,0.9891492335757777,0.9892996010547379,42209.0
