mode,model,class,precision,recall,f1_score,support
binary,lightgbm,normal,0.9979016786570744,0.9987,0.9983006797281088,10000.0
binary,lightgbm,attack,0.9995962858296328,0.9993480083206556,0.9994721316565752,32209.0
binary,logistic_regression,normal,0.9100079904115062,0.9111,0.9105536677993205,10000.0
binary,logistic_regression,attack,0.9723887318694288,0.9720264522338476,0.9722075583020215,32209.0
binary,random_forest,normal,0.99799759711654,0.9968,0.997398439063438,10000.0
binary,random_forest,attack,0.999006858880854,0.9993790555434816,0.9991929225516064,32209.0
binary,xgboost,normal,0.9972011195521792,0.9976,0.9974005198960209,10000.0
binary,xgboost,attack,0.9992547741034,0.9991306777608744,0.9991927220790512,32209.0
multiclass,lightgbm,backdoor,1.0,0.99925,0.999624859322246,4000.0
multiclass,lightgbm,ddos,0.9891932646393566,0.984,0.9865897982203284,4000.0
multiclass,lightgbm,dos,0.9896699420508944,0.982,0.9858200527042288,4000.0
multiclass,lightgbm,injection,0.9832784393210032,0.97025,0.9767207751352712,4000.0
multiclass,lightgbm,mitm,0.6840148698884758,0.8803827751196173,0.7698744769874477,209.0
multiclass,lightgbm,normal,0.9974015590645612,0.998,0.997700689793062,10000.0
multiclass,lightgbm,password,0.9959798994974874,0.991,0.993483709273183,4000.0
multiclass,lightgbm,ransomware,1.0,0.999,0.9994997498749376,4000.0
multiclass,lightgbm,scanning,0.9880029992501874,0.98825,0.9881264841894764,4000.0
multiclass,lightgbm,xss,0.972939729397294,0.98875,0.9807811531308122,4000.0
multiclass,logistic_regression,backdoor,0.7075287865367582,0.9985,0.8282011404872991,4000.0
multiclass,logistic_regression,ddos,0.9219586840091814,0.90375,0.9127635399570762,4000.0
multiclass,logistic_regression,dos,0.990770901194354,0.9125,0.9500260281103592,4000.0
multiclass,logistic_regression,injection,0.7751157092295127,0.71175,0.7420826273947608,4000.0
multiclass,logistic_regression,mitm,0.16,0.937799043062201,0.2733612273361227,209.0
multiclass,logistic_regression,normal,0.9910303316416852,0.8397,0.909110593839658,10000.0
multiclass,logistic_regression,password,0.7065455684309427,0.564,0.6272765188377589,4000.0
multiclass,logistic_regression,ransomware,0.7076652326945639,0.90475,0.794162826420891,4000.0
multiclass,logistic_regression,scanning,0.8778106508875739,0.74175,0.8040650406504065,4000.0
multiclass,logistic_regression,xss,0.8554216867469879,0.83425,0.8447032021263131,4000.0
multiclass,random_forest,backdoor,1.0,0.99925,0.999624859322246,4000.0
multiclass,random_forest,ddos,0.9851721538074892,0.98,0.9825792705852864,4000.0
multiclass,random_forest,dos,0.9861635220125786,0.98,0.9830721003134796,4000.0
multiclass,random_forest,injection,0.9753706961548128,0.97025,0.9728036094748715,4000.0
multiclass,random_forest,mitm,0.721030042918455,0.8038277511961722,0.7601809954751131,209.0
multiclass,random_forest,normal,0.9966023783351654,0.9973,0.9969510671265056,10000.0
multiclass,random_forest,password,0.993,0.993,0.993,4000.0
multiclass,random_forest,ransomware,0.9997498123592694,0.999,0.9993747655370764,4000.0
multiclass,random_forest,scanning,0.9853160776505724,0.98975,0.9875280618608132,4000.0
multiclass,random_forest,xss,0.9763916500994037,0.98225,0.9793120638085744,4000.0
multiclass,xgboost,backdoor,1.0,0.9995,0.9997499374843712,4000.0
multiclass,xgboost,ddos,0.9891468955073196,0.97975,0.9844260236121576,4000.0
multiclass,xgboost,dos,0.9906518443658412,0.98025,0.985423473234481,4000.0
multiclass,xgboost,injection,0.9859729660800816,0.9665,0.976139376341371,4000.0
multiclass,xgboost,mitm,0.6716981132075471,0.8516746411483254,0.7510548523206751,209.0
multiclass,xgboost,normal,0.9964061096136568,0.9981,0.9972523355148124,10000.0
multiclass,xgboost,password,0.995475113122172,0.99,0.992730007520682,4000.0
multiclass,xgboost,ransomware,0.9997498123592694,0.999,0.9993747655370764,4000.0
multiclass,xgboost,scanning,0.9848560079443892,0.99175,0.9882909815645242,4000.0
multiclass,xgboost,xss,0.97062423500612,0.99125,0.9808286951144094,4000.0
